outcome;exposure;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;estimate;se;HR;CI_left;CI_right;pval
D00;D51;sex-interaction time-number_como-adjusted;men;1773199;23406123.8368142;34904;338;3059.1966314844;7;0.39963485;0.37826307;1.49128005729669;0.710527843309368;3.12994941751003;0.290739941588645
D00;D51;sex-interaction time-number_como-adjusted;women;1853112;24748190.2770267;49703;6263;56890.719896699;72;0.15652027;0.11849617;1.16943446651544;0.927068376104499;1.4751630049347;0.186538427286714
D00;D52;sex-interaction crude;men;1773329;23407944.7596976;34910;103;1238.27374803504;0;;;;;;
D00;D52;sex-interaction crude;women;1856197;24784336.2436859;49748;1956;20744.7532375178;27;1.2544323;0.19264574;3.50584753964936;2.40332594356619;5.11414900012582;7.43537327912622e-11
D00;D52;sex-interaction kessler-adjusted;men;1773329;23407944.7596976;34910;103;1238.27374803504;0;;;;;;
D00;D52;sex-interaction kessler-adjusted;women;1856197;24784336.2436859;49748;1956;20744.7532375178;27;0.15676604;0.19290562;1.16972191374578;0.801458546944703;1.7071991567288;0.416414926914998
D00;D52;sex-interaction time-adjusted;men;1773329;23407944.7596976;34910;103;1238.27374803504;0;;;;;;
D00;D52;sex-interaction time-adjusted;women;1856197;24784336.2436859;49748;1956;20744.7532375178;27;1.2576496;0.19265972;3.51714506696091;2.41100455276647;5.13076983112842;6.67300645946229e-11
D00;D52;sex-interaction time-comorbidity-adjusted;men;1773329;23407944.7596976;34910;103;1238.27374803504;0;;;;;;
D00;D52;sex-interaction time-comorbidity-adjusted;women;1856197;24784336.2436859;49748;1956;20744.7532375178;27;0.08894474;0.19291457;1.09302025435818;0.748891722030012;1.5952817227019;0.644757238311766
D00;D52;sex-interaction time-number_como-adjusted;men;1773329;23407944.7596976;34910;103;1238.27374803504;0;;;;;;
D00;D52;sex-interaction time-number_como-adjusted;women;1856197;24784336.2436859;49748;1956;20744.7532375178;27;0.13744717;0.19278932;1.14734109034112;0.786303087161944;1.67415287956772;0.47588303926392
D00;D61;sex-interaction crude;men;1743727;22995127.6629538;33377;36622;414055.370491804;1534;1.4508921;0.02617461;4.26691933651602;4.0535409472248;4.49152996389472;0
D00;D61;sex-interaction crude;women;1813826;24170423.1443896;47366;54310;634657.852533874;2409;1.0861322;0.0209349;2.96279239403701;2.84368444169089;3.08688919258003;0
D00;D61;sex-interaction kessler-adjusted;men;1743727;22995127.6629538;33377;36622;414055.370491804;1534;0.08226489;0.028047;1.08574337430381;1.02766966734436;1.14709883175875;0.00335586751083711
D00;D61;sex-interaction kessler-adjusted;women;1813826;24170423.1443896;47366;54310;634657.852533874;2409;-0.19190535;0.02276156;0.825384987483708;0.789372314586682;0.863040627311829;3.42384492984963e-17
D00;D61;sex-interaction time-adjusted;men;1743727;22995127.6629538;33377;36622;414055.370491804;1534;1.4510724;0.0261748;4.26768873143127;4.05427035676516;4.49234153267406;0
D00;D61;sex-interaction time-adjusted;women;1813826;24170423.1443896;47366;54310;634657.852533874;2409;1.0863782;0.02093539;2.96352133062147;2.84438134241985;3.08765162605686;0
